COUNTRY,YEAR,PTYPE,GENDEATHMAG,ETHMAGFATAL,ETHMAGFIGHT,REVMAGFATAL,REVMAGFIGHT
Afghanistan,2013,2,0,0,0,3,4
Afghanistan,2014,2,0,0,0,2,4
Afghanistan,2015,2,0,0,0,3,4
Albania,1955,0,0,0,0,0,0
Albania,1956,0,0,0,0,0,0
Albania,1957,0,0,0,0,0,0
Albania,1958,0,0,0,0,0,0
Albania,1959,0,0,0,0,0,0
Albania,1960,0,0,0,0,0,0
Albania,1961,0,0,0,0,0,0
Albania,1962,0,0,0,0,0,0
Albania,1963,0,0,0,0,0,0
Albania,1964,0,0,0,0,0,0
Albania,1965,0,0,0,0,0,0
Albania,1966,0,0,0,0,0,0
Albania,1967,0,0,0,0,0,0
Albania,1968,0,0,0,0,0,0
Albania,1969,0,0,0,0,0,0
Albania,1970,0,0,0,0,0,0
Albania,1971,0,0,0,0,0,0
Albania,1972,0,0,0,0,0,0
Albania,1973,0,0,0,0,0,0
Albania,1974,0,0,0,0,0,0
Albania,1975,0,0,0,0,0,0
Albania,1976,0,0,0,0,0,0
Albania,1977,0,0,0,0,0,0
Albania,1978,0,0,0,0,0,0
Albania,1979,0,0,0,0,0,0
Albania,1980,0,0,0,0,0,0
Albania,1981,0,0,0,0,0,0
Albania,1982,0,0,0,0,0,0
Albania,1983,0,0,0,0,0,0
Albania,1984,0,0,0,0,0,0
Albania,1985,0,0,0,0,0,0
Albania,1986,0,0,0,0,0,0
Albania,1987,0,0,0,0,0,0
Albania,1988,0,0,0,0,0,0
Albania,1989,0,0,0,0,0,0
Albania,1990,0,0,0,0,0,0
Albania,1991,0,0,0,0,0,0
Albania,1992,0,0,0,0,0,0
Albania,1993,0,0,0,0,0,0
Albania,1994,0,0,0,0,0,0
Albania,1995,0,0,0,0,0,0
Albania,1996,0,0,0,0,0,0
Albania,1997,2,0,0,0,2,4
Albania,1998,0,0,0,0,0,0
Albania,1999,0,0,0,0,0,0
Albania,2000,0,0,0,0,0,0
Albania,2001,0,0,0,0,0,0
Albania,2002,0,0,0,0,0,0
Albania,2003,0,0,0,0,0,0
Albania,2004,0,0,0,0,0,0
Albania,2005,0,0,0,0,0,0
Albania,2006,0,0,0,0,0,0
Albania,2007,0,0,0,0,0,0
Albania,2008,0,0,0,0,0,0
Albania,2009,0,0,0,0,0,0
Albania,2010,0,0,0,0,0,0
Albania,2011,0,0,0,0,0,0
Albania,2012,0,0,0,0,0,0
Albania,2013,0,0,0,0,0,0
Albania,2014,0,0,0,0,0,0
Albania,2015,0,0,0,0,0,0
Algeria,1955,0,0,0,0,0,0
Algeria,1956,0,0,0,0,0,0
Algeria,1957,0,0,0,0,0,0
Algeria,1958,0,0,0,0,0,0
Algeria,1959,0,0,0,0,0,0
Algeria,1960,0,0,0,0,0,0
Algeria,1961,0,0,0,0,0,0
Algeria,1962,4,3.5,0,0,0,0
Algeria,1962,1,0,2,3,0,0
Algeria,1962,2,0,0,0,2,3
Algeria,1963,0,0,0,0,0,0
Algeria,1964,0,0,0,0,0,0
Algeria,1965,0,0,0,0,0,0
Algeria,1966,0,0,0,0,0,0
Algeria,1967,0,0,0,0,0,0
Algeria,1968,0,0,0,0,0,0
Algeria,1969,0,0,0,0,0,0
Algeria,1970,0,0,0,0,0,0
Algeria,1971,0,0,0,0,0,0
Algeria,1972,0,0,0,0,0,0
Algeria,1973,0,0,0,0,0,0
Algeria,1974,0,0,0,0,0,0
Algeria,1975,0,0,0,0,0,0
Algeria,1976,0,0,0,0,0,0
Algeria,1977,0,0,0,0,0,0
Algeria,1978,0,0,0,0,0,0
Algeria,1979,0,0,0,0,0,0
Algeria,1980,0,0,0,0,0,0
Algeria,1981,0,0,0,0,0,0
Algeria,1982,0,0,0,0,0,0
Algeria,1983,0,0,0,0,0,0
Algeria,1984,0,0,0,0,0,0
Algeria,1985,0,0,0,0,0,0
Algeria,1986,0,0,0,0,0,0
Algeria,1987,0,0,0,0,0,0
Algeria,1988,0,0,0,0,0,0
Algeria,1989,0,0,0,0,0,0
Algeria,1990,0,0,0,0,0,0
Algeria,1991,2,0,0,0,0,4
Algeria,1992,2,0,0,0,1,4
Algeria,1993,2,0,0,0,2,4
Algeria,1994,2,0,0,0,4,4
Algeria,1995,2,0,0,0,3,4
Algeria,1996,2,0,0,0,2,2
Algeria,1997,2,0,0,0,3,2
Algeria,1998,2,0,0,0,3,2
Algeria,1999,2,0,0,0,2,2
Algeria,2000,2,0,0,0,2,2
Algeria,2001,2,0,0,0,2,2
Algeria,2002,2,0,0,0,2,2
Algeria,2003,2,0,0,0,1,2
Algeria,2004,2,0,0,0,0,1
Algeria,2005,0,0,0,0,0,0
Algeria,2006,0,0,0,0,0,0
Algeria,2007,0,0,0,0,0,0
Algeria,2008,0,0,0,0,0,0
Algeria,2009,0,0,0,0,0,0
Algeria,2010,0,0,0,0,0,0
Algeria,2011,0,0,0,0,0,0
Algeria,2012,0,0,0,0,0,0
Algeria,2013,0,0,0,0,0,0
Algeria,2014,0,0,0,0,0,0
Algeria,2015,0,0,0,0,0,0
Angola,1955,0,0,0,0,0,0
Angola,1956,0,0,0,0,0,0
Angola,1957,0,0,0,0,0,0
Angola,1958,0,0,0,0,0,0
Angola,1959,0,0,0,0,0,0
Angola,1960,0,0,0,0,0,0
Angola,1961,0,0,0,0,0,0
Angola,1962,0,0,0,0,0,0
Angola,1963,0,0,0,0,0,0
Angola,1964,0,0,0,0,0,0
Angola,1965,0,0,0,0,0,0
Angola,1966,0,0,0,0,0,0
Angola,1967,0,0,0,0,0,0
Angola,1968,0,0,0,0,0,0
Angola,1969,0,0,0,0,0,0
Angola,1970,0,0,0,0,0,0
Angola,1971,0,0,0,0,0,0
Angola,1972,0,0,0,0,0,0
Angola,1973,0,0,0,0,0,0
Angola,1974,0,0,0,0,0,0
Angola,1975,4,2,0,0,0,0
Angola,1975,1,0,3,4,0,0
Angola,1975,2,0,0,0,3,4
Angola,1976,4,2.5,0,0,0,0
Angola,1976,1,0,3,4,0,0
Angola,1976,2,0,0,0,3,4
Angola,1977,4,2.5,0,0,0,0
Angola,1977,1,0,3,4,0,0
Angola,1977,2,0,0,0,3,4
Angola,1978,4,2.5,0,0,0,0
Angola,1978,1,0,3,4,0,0
Angola,1978,2,0,0,0,3,4
Angola,1979,4,2.5,0,0,0,0
Angola,1979,1,0,3,4,0,0
Angola,1979,2,0,0,0,3,4
Angola,1980,4,2.5,0,0,0,0
Angola,1980,1,0,3,4,0,0
Angola,1980,2,0,0,0,3,4
Angola,1981,4,2.5,0,0,0,0
Angola,1981,1,0,3,4,0,0
Angola,1981,2,0,0,0,3,4
Angola,1982,4,2.5,0,0,0,0
Angola,1982,1,0,3,4,0,0
Angola,1982,2,0,0,0,3,4
Angola,1983,4,3,0,0,0,0
Angola,1983,1,0,3,4,0,0
Angola,1983,2,0,0,0,3,4
Angola,1984,4,3,0,0,0,0
Angola,1984,1,0,3,4,0,0
Angola,1984,2,0,0,0,3,4
Angola,1985,4,3,0,0,0,0
Angola,1985,1,0,3,4,0,0
Angola,1985,2,0,0,0,3,4
Angola,1986,4,3,0,0,0,0
Angola,1986,1,0,3,4,0,0
Angola,1986,2,0,0,0,3,4
Angola,1987,4,3.5,0,0,0,0
Angola,1987,1,0,3,4,0,0
Angola,1987,2,0,0,0,3,4
Angola,1988,4,3.5,0,0,0,0
Angola,1988,1,0,4,4,0,0
Angola,1988,2,0,0,0,4,4
Angola,1989,4,3.5,0,0,0,0
Angola,1989,1,0,2,4,0,0
Angola,1989,2,0,0,0,2,4
Angola,1990,4,3.5,0,0,0,0
Angola,1990,1,0,3,4,0,0
Angola,1990,2,0,0,0,3,4
Angola,1991,4,3,0,0,0,0
Angola,1991,1,0,3,4,0,0
Angola,1991,2,0,0,0,3,4
Angola,1992,4,3.5,0,0,0,0
Angola,1992,1,0,2,4,0,0
Angola,1992,2,0,0,0,2,4
Angola,1993,4,3.5,0,0,0,0
Angola,1993,1,0,4,4,0,0
Angola,1993,2,0,0,0,4,4
Angola,1994,4,3.5,0,0,0,0
Angola,1994,1,0,4,4,0,0
Angola,1994,2,0,0,0,4,4
Angola,1995,1,0,1,1,0,0
Angola,1995,2,0,0,0,1,1
Angola,1996,1,0,0,1,0,0
Angola,1996,2,0,0,0,0,1
Angola,1997,1,0,0,1,0,0
Angola,1997,2,0,0,0,0,1
Angola,1998,4,3,0,0,0,0
Angola,1998,1,0,1,4,0,0
Angola,1998,2,0,0,0,1,4
Angola,1999,4,3,0,0,0,0
Angola,1999,1,0,4,4,0,0
Angola,1999,2,0,0,0,4,4
Angola,2000,4,3,0,0,0,0
Angola,2000,1,0,2,3,0,0
Angola,2000,2,0,0,0,2,3
Angola,2001,4,3,0,0,0,0
Angola,2001,1,0,2,4,0,0
Angola,2001,2,0,0,0,2,4
Angola,2002,4,3,0,0,0,0
Angola,2002,1,0,1,4,0,0
Angola,2002,2,0,0,0,1,4
Angola,2003,0,0,0,0,0,0
Angola,2004,0,0,0,0,0,0
Angola,2005,0,0,0,0,0,0
Angola,2006,0,0,0,0,0,0
Angola,2007,0,0,0,0,0,0
Angola,2008,0,0,0,0,0,0
Angola,2009,0,0,0,0,0,0
Angola,2010,0,0,0,0,0,0
Angola,2011,0,0,0,0,0,0
Angola,2012,0,0,0,0,0,0
Angola,2013,0,0,0,0,0,0
Angola,2014,0,0,0,0,0,0
Angola,2015,0,0,0,0,0,0
Argentina,1955,0,0,0,0,0,0
Argentina,1956,0,0,0,0,0,0
Argentina,1957,0,0,0,0,0,0
Argentina,1958,0,0,0,0,0,0
Argentina,1959,0,0,0,0,0,0
Argentina,1960,0,0,0,0,0,0
Argentina,1961,0,0,0,0,0,0
Argentina,1962,0,0,0,0,0,0
Argentina,1963,0,0,0,0,0,0
Argentina,1964,0,0,0,0,0,0
Argentina,1965,0,0,0,0,0,0
Argentina,1966,0,0,0,0,0,0
Argentina,1967,0,0,0,0,0,0
Argentina,1968,0,0,0,0,0,0
Argentina,1969,0,0,0,0,0,0
Argentina,1970,0,0,0,0,0,0
Argentina,1971,0,0,0,0,0,0
Argentina,1972,0,0,0,0,0,0
Argentina,1973,0,0,0,0,0,0
Argentina,1974,0,0,0,0,0,0
Argentina,1975,0,0,0,0,0,0
Argentina,1976,4,1.5,0,0,0,0
Argentina,1977,4,1.5,0,0,0,0
Argentina,1978,4,1.5,0,0,0,0
Argentina,1979,4,1,0,0,0,0
Argentina,1980,4,1,0,0,0,0
Argentina,1981,0,0,0,0,0,0
Argentina,1982,0,0,0,0,0,0
Argentina,1983,0,0,0,0,0,0
Argentina,1984,0,0,0,0,0,0
Argentina,1985,0,0,0,0,0,0
Argentina,1986,0,0,0,0,0,0
Argentina,1987,0,0,0,0,0,0
Argentina,1988,0,0,0,0,0,0
Argentina,1989,0,0,0,0,0,0
Argentina,1990,0,0,0,0,0,0
Argentina,1991,0,0,0,0,0,0
Argentina,1992,0,0,0,0,0,0
Argentina,1993,0,0,0,0,0,0
Argentina,1994,0,0,0,0,0,0
Argentina,1995,0,0,0,0,0,0
Argentina,1996,0,0,0,0,0,0
Argentina,1997,0,0,0,0,0,0
Argentina,1998,0,0,0,0,0,0
Argentina,1999,0,0,0,0,0,0
Argentina,2000,0,0,0,0,0,0
Argentina,2001,0,0,0,0,0,0
Argentina,2002,0,0,0,0,0,0
Argentina,2003,0,0,0,0,0,0
Argentina,2004,0,0,0,0,0,0
Argentina,2005,0,0,0,0,0,0
Argentina,2006,0,0,0,0,0,0
Argentina,2007,0,0,0,0,0,0
Argentina,2008,0,0,0,0,0,0
Argentina,2009,0,0,0,0,0,0
Argentina,2010,0,0,0,0,0,0
Argentina,2011,0,0,0,0,0,0
Argentina,2012,0,0,0,0,0,0
Argentina,2013,0,0,0,0,0,0
Argentina,2014,0,0,0,0,0,0
Argentina,2015,0,0,0,0,0,0
Azerbaijan,1955,0,0,0,0,0,0
Azerbaijan,1956,0,0,0,0,0,0
Azerbaijan,1957,0,0,0,0,0,0
Azerbaijan,1958,0,0,0,0,0,0
Azerbaijan,1959,0,0,0,0,0,0
Azerbaijan,1960,0,0,0,0,0,0
Azerbaijan,1961,0,0,0,0,0,0
Azerbaijan,1962,0,0,0,0,0,0
Azerbaijan,1963,0,0,0,0,0,0
Azerbaijan,1964,0,0,0,0,0,0
Azerbaijan,1965,0,0,0,0,0,0
Azerbaijan,1966,0,0,0,0,0,0
Azerbaijan,1967,0,0,0,0,0,0
Azerbaijan,1968,0,0,0,0,0,0
Azerbaijan,1969,0,0,0,0,0,0
Azerbaijan,1970,0,0,0,0,0,0
Azerbaijan,1971,0,0,0,0,0,0
Azerbaijan,1972,0,0,0,0,0,0
Azerbaijan,1973,0,0,0,0,0,0
Azerbaijan,1974,0,0,0,0,0,0
Azerbaijan,1975,0,0,0,0,0,0
Azerbaijan,1976,0,0,0,0,0,0
Azerbaijan,1977,0,0,0,0,0,0
Azerbaijan,1978,0,0,0,0,0,0
Azerbaijan,1979,0,0,0,0,0,0
Azerbaijan,1980,0,0,0,0,0,0
Azerbaijan,1981,0,0,0,0,0,0
Azerbaijan,1982,0,0,0,0,0,0
Azerbaijan,1983,0,0,0,0,0,0
Azerbaijan,1984,0,0,0,0,0,0
Azerbaijan,1985,0,0,0,0,0,0
Azerbaijan,1986,0,0,0,0,0,0
Azerbaijan,1987,0,0,0,0,0,0
Azerbaijan,1988,0,0,0,0,0,0
Azerbaijan,1989,0,0,0,0,0,0
Azerbaijan,1990,0,0,0,0,0,0
Azerbaijan,1991,1,0,1,2,0,0
Azerbaijan,1992,1,0,2,2,0,0
Azerbaijan,1993,1,0,2,3,0,0
Azerbaijan,1994,1,0,2,3,0,0
Azerbaijan,1995,1,0,1,2,0,0
Azerbaijan,1996,1,0,1,2,0,0
Azerbaijan,1997,1,0,1,2,0,0
Azerbaijan,1998,0,0,0,0,0,0
Azerbaijan,1999,0,0,0,0,0,0
Azerbaijan,2000,0,0,0,0,0,0
Azerbaijan,2001,0,0,0,0,0,0
Azerbaijan,2002,0,0,0,0,0,0
Azerbaijan,2003,0,0,0,0,0,0
Azerbaijan,2004,0,0,0,0,0,0
Azerbaijan,2005,0,0,0,0,0,0
Azerbaijan,2006,0,0,0,0,0,0
Azerbaijan,2007,0,0,0,0,0,0
Azerbaijan,2008,0,0,0,0,0,0
Azerbaijan,2009,0,0,0,0,0,0
Azerbaijan,2010,0,0,0,0,0,0
Azerbaijan,2011,0,0,0,0,0,0
Azerbaijan,2012,0,0,0,0,0,0
Azerbaijan,2013,0,0,0,0,0,0
Azerbaijan,2014,0,0,0,0,0,0
Azerbaijan,2015,0,0,0,0,0,0
Bangladesh,1956,0,0,0,0,0,0
Bangladesh,1956,0,0,0,0,0,0
Bangladesh,1957,0,0,0,0,0,0
Bangladesh,1958,0,0,0,0,0,0
Bangladesh,1959,0,0,0,0,0,0
Bangladesh,1960,0,0,0,0,0,0
Bangladesh,1961,0,0,0,0,0,0
Bangladesh,1962,0,0,0,0,0,0
Bangladesh,1963,0,0,0,0,0,0
Bangladesh,1964,0,0,0,0,0,0
Bangladesh,1965,0,0,0,0,0,0
Bangladesh,1966,0,0,0,0,0,0
Bangladesh,1967,0,0,0,0,0,0
Bangladesh,1968,0,0,0,0,0,0
Bangladesh,1969,0,0,0,0,0,0
Bangladesh,1970,0,0,0,0,0,0
Bangladesh,1971,0,0,0,0,0,0
Bangladesh,1972,0,0,0,0,0,0
Bangladesh,1973,0,0,0,0,0,0
Bangladesh,1974,0,0,0,0,0,0
Bangladesh,1975,0,0,0,0,0,0
Bangladesh,1976,1,0,1,1,0,0
Bangladesh,1977,1,0,1,2,0,0
Bangladesh,1978,1,0,1,2,0,0
Bangladesh,1979,1,0,1,2,0,0
Bangladesh,1980,1,0,2,2,0,0
Bangladesh,1981,1,0,2,2,0,0
Bangladesh,1982,1,0,1,2,0,0
Bangladesh,1983,1,0,0,2,0,0
Bangladesh,1984,1,0,1,2,0,0
Bangladesh,1985,1,0,2,2,0,0
Bangladesh,1986,1,0,2,2,0,0
Bangladesh,1987,1,0,1,2,0,0
Bangladesh,1988,1,0,1,2,0,0
Bangladesh,1989,1,0,1,2,0,0
Bangladesh,1990,1,0,1,2,0,0
Bangladesh,1991,1,0,0,2,0,0
Bangladesh,1992,0,0,0,0,0,0
Bangladesh,1993,0,0,0,0,0,0
Bangladesh,1994,0,0,0,0,0,0
Bangladesh,1995,0,0,0,0,0,0
Bangladesh,1996,0,0,0,0,0,0
Bangladesh,1997,0,0,0,0,0,0
Bangladesh,1998,0,0,0,0,0,0
Bangladesh,1999,0,0,0,0,0,0
Bangladesh,2000,0,0,0,0,0,0
Bangladesh,2001,0,0,0,0,0,0
Bangladesh,2002,0,0,0,0,0,0
Bangladesh,2003,0,0,0,0,0,0
Bangladesh,2004,0,0,0,0,0,0
Bangladesh,2005,0,0,0,0,0,0
Bangladesh,2006,0,0,0,0,0,0
Bangladesh,2007,0,0,0,0,0,0
Bangladesh,2008,0,0,0,0,0,0
Bangladesh,2009,0,0,0,0,0,0
Bangladesh,2010,0,0,0,0,0,0
Bangladesh,2011,0,0,0,0,0,0
Bangladesh,2012,0,0,0,0,0,0
Bangladesh,2013,0,0,0,0,0,0
Bangladesh,2014,0,0,0,0,0,0
Bangladesh,2015,0,0,0,0,0,0
Bosnia,1955,0,0,0,0,0,0
Bosnia,1956,0,0,0,0,0,0
Bosnia,1957,0,0,0,0,0,0
Bosnia,1958,0,0,0,0,0,0
Bosnia,1959,0,0,0,0,0,0
Bosnia,1960,0,0,0,0,0,0
Bosnia,1961,0,0,0,0,0,0
Bosnia,1962,0,0,0,0,0,0
Bosnia,1963,0,0,0,0,0,0
Bosnia,1964,0,0,0,0,0,0
Bosnia,1965,0,0,0,0,0,0
Bosnia,1966,0,0,0,0,0,0
Bosnia,1967,0,0,0,0,0,0
Bosnia,1968,0,0,0,0,0,0
Bosnia,1969,0,0,0,0,0,0
Bosnia,1970,0,0,0,0,0,0
Bosnia,1971,0,0,0,0,0,0
Bosnia,1972,0,0,0,0,0,0
Bosnia,1973,0,0,0,0,0,0
Bosnia,1974,0,0,0,0,0,0
Bosnia,1975,0,0,0,0,0,0
Bosnia,1976,0,0,0,0,0,0
Bosnia,1977,0,0,0,0,0,0
Bosnia,1978,0,0,0,0,0,0
Bosnia,1979,0,0,0,0,0,0
Bosnia,1980,0,0,0,0,0,0
Bosnia,1981,0,0,0,0,0,0
Bosnia,1982,0,0,0,0,0,0
Bosnia,1983,0,0,0,0,0,0
Bosnia,1984,0,0,0,0,0,0
Bosnia,1985,0,0,0,0,0,0
Bosnia,1986,0,0,0,0,0,0
Bosnia,1987,0,0,0,0,0,0
Bosnia,1988,0,0,0,0,0,0
Bosnia,1989,0,0,0,0,0,0
Bosnia,1990,0,0,0,0,0,0
Bosnia,1991,0,0,0,0,0,0
Bosnia,1992,4,4,0,0,0,0
Bosnia,1992,1,0,4,4,0,0
Bosnia,1993,4,4,0,0,0,0
Bosnia,1993,1,0,4,4,0,0
Bosnia,1994,4,2.5,0,0,0,0
Bosnia,1994,1,0,2,4,0,0
Bosnia,1995,4,3,0,0,0,0
Bosnia,1995,1,0,2,4,0,0
Bosnia,1996,0,0,0,0,0,0
Bosnia,1997,0,0,0,0,0,0
Bosnia,1998,0,0,0,0,0,0
Bosnia,1999,0,0,0,0,0,0
Bosnia,2000,0,0,0,0,0,0
Bosnia,2001,0,0,0,0,0,0
Bosnia,2002,0,0,0,0,0,0
Bosnia,2003,0,0,0,0,0,0
Bosnia,2004,0,0,0,0,0,0
Bosnia,2005,0,0,0,0,0,0
Bosnia,2006,0,0,0,0,0,0
Bosnia,2007,0,0,0,0,0,0
Bosnia,2008,0,0,0,0,0,0
Bosnia,2009,0,0,0,0,0,0
Bosnia,2010,0,0,0,0,0,0
Bosnia,2011,0,0,0,0,0,0
Bosnia,2012,0,0,0,0,0,0
Bosnia,2013,0,0,0,0,0,0
Bosnia,2014,0,0,0,0,0,0
Bosnia,2015,0,0,0,0,0,0
Burundi,1955,0,0,0,0,0,0
Burundi,1956,0,0,0,0,0,0
Burundi,1957,0,0,0,0,0,0
Burundi,1958,0,0,0,0,0,0
Burundi,1959,0,0,0,0,0,0
Burundi,1960,0,0,0,0,0,0
Burundi,1961,0,0,0,0,0,0
Burundi,1962,0,0,0,0,0,0
Burundi,1963,0,0,0,0,0,0
Burundi,1964,0,0,0,0,0,0
Burundi,1965,4,2,0,0,0,0
Burundi,1966,4,0,0,0,0,0
Burundi,1967,4,0.5,0,0,0,0
Burundi,1968,4,0,0,0,0,0
Burundi,1969,4,1,0,0,0,0
Burundi,1970,4,0.5,0,0,0,0
Burundi,1971,4,0.5,0,0,0,0
Burundi,1972,4,4,0,0,0,0
Burundi,1972,1,0,2,9,0,0
Burundi,1973,4,3,0,0,0,0
Burundi,1974,0,0,0,0,0,0
Burundi,1975,0,0,0,0,0,0
Burundi,1976,0,0,0,0,0,0
Burundi,1977,0,0,0,0,0,0
Burundi,1978,0,0,0,0,0,0
Burundi,1979,0,0,0,0,0,0
Burundi,1980,0,0,0,0,0,0
Burundi,1981,0,0,0,0,0,0
Burundi,1982,0,0,0,0,0,0
Burundi,1983,0,0,0,0,0,0
Burundi,1984,0,0,0,0,0,0
Burundi,1985,0,0,0,0,0,0
Burundi,1986,0,0,0,0,0,0
Burundi,1987,0,0,0,0,0,0
Burundi,1988,4,2.5,0,0,0,0
Burundi,1988,1,0,3,4,0,0
Burundi,1989,1,0,0,4,0,0
Burundi,1990,1,0,1,4,0,0
Burundi,1991,1,0,2,4,0,0
Burundi,1992,1,0,0,4,0,0
Burundi,1993,4,3.5,0,0,0,0
Burundi,1993,1,0,3,4,0,0
Burundi,1994,1,0,2,4,0,0
Burundi,1995,1,0,2,4,0,0
Burundi,1996,1,0,3,4,0,0
Burundi,1997,1,0,3,4,0,0
Burundi,1998,1,0,2,4,0,0
Burundi,1999,1,0,2,4,0,0
Burundi,2000,1,0,1,4,0,0
Burundi,2001,1,0,2,4,0,0
Burundi,2002,1,0,2,4,0,0
Burundi,2003,1,0,1,4,0,0
Burundi,2004,1,0,1,2,0,0
Burundi,2005,1,0,0,1,0,0
Burundi,2006,0,0,0,0,0,0
Burundi,2007,0,0,0,0,0,0
Burundi,2008,0,0,0,0,0,0
Burundi,2009,0,0,0,0,0,0
Burundi,2010,0,0,0,0,0,0
Burundi,2011,0,0,0,0,0,0
Burundi,2012,0,0,0,0,0,0
Burundi,2013,0,0,0,0,0,0
Burundi,2014,0,0,0,0,0,0
Burundi,2015,0,0,0,0,0,0
Cambodia,1955,0,0,0,0,0,0
Cambodia,1956,0,0,0,0,0,0
Cambodia,1957,0,0,0,0,0,0
Cambodia,1958,0,0,0,0,0,0
Cambodia,1959,0,0,0,0,0,0
Cambodia,1960,0,0,0,0,0,0
Cambodia,1961,0,0,0,0,0,0
Cambodia,1962,0,0,0,0,0,0
Cambodia,1963,0,0,0,0,0,0
Cambodia,1964,0,0,0,0,0,0
Cambodia,1965,0,0,0,0,0,0
Cambodia,1966,0,0,0,0,0,0
Cambodia,1967,0,0,0,0,0,0
Cambodia,1968,0,0,0,0,0,0
Cambodia,1969,0,0,0,0,0,0
Cambodia,1970,2,0,0,0,1,4
Cambodia,1971,2,0,0,0,2,4
Cambodia,1972,2,0,0,0,2,4
Cambodia,1973,2,0,0,0,4,4
Cambodia,1974,2,0,0,0,2,4
Cambodia,1975,4,5,0,0,0,0
Cambodia,1975,2,0,0,0,9,4
Cambodia,1976,4,5,0,0,0,0
Cambodia,1977,4,4.5,0,0,0,0
Cambodia,1978,4,4,0,0,0,0
Cambodia,1979,4,2.5,0,0,0,0
Cambodia,1979,2,0,0,0,3,4
Cambodia,1980,2,0,0,0,2,4
Cambodia,1981,2,0,0,0,1,4
Cambodia,1982,2,0,0,0,2,4
Cambodia,1983,2,0,0,0,2,4
Cambodia,1984,2,0,0,0,2,4
Cambodia,1985,2,0,0,0,2,4
Cambodia,1986,2,0,0,0,1,4
Cambodia,1987,2,0,0,0,1,4
Cambodia,1988,2,0,0,0,0,4
Cambodia,1989,2,0,0,0,1,4
Cambodia,1990,2,0,0,0,2,4
Cambodia,1991,2,0,0,0,1,4
Cambodia,1992,0,0,0,0,0,0
Cambodia,1993,0,0,0,0,0,0
Cambodia,1994,0,0,0,0,0,0
Cambodia,1995,0,0,0,0,0,0
Cambodia,1996,0,0,0,0,0,0
Cambodia,1997,0,0,0,0,0,0
